ts_code,trade_date,lookback_n,is_full_window,open,high,low,close,vol,amount,TR,MA,ATR,Z,adf_pvalue,kpss_pvalue,hurst,adf_ok,kpss_ok,hurst_ok,ou_valid,ou_a,ou_b,kappa,theta,sigma_ou,HL,half_life,steady_std_s,kappa_cv,kappa_mean,kappa_recent_positive,kappa_n_windows,hl_ok,kappa_cv_ok,grid_K,grid_n_layers,grid_spacing,grid_depth_z,grid_depth_ok,mean_reversion_pass,grid_1_buy,grid_1_sell,grid_2_buy,grid_2_sell,grid_3_buy,grid_3_sell,grid_4_buy,grid_4_sell,grid_5_buy,grid_5_sell
600519.SH,2025-07-09,250,True,1391.31,1406.03,1390.5,1395.13,27745.32,3950810.723,15.529999999999973,1385.8166666666666,19.515499999999996,0.4772275029250342,1.1690609006847901e-06,0.1,0.3016253912133868,True,True,True,True,-0.011548787443094007,0.8858584554394345,0.12119809797990676,-0.10117952659179254,0.7601239527310651,5.719125894821064,5.719125894821064,1.5439083573157586,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,4.878874999999999,1.25,True,True,1380.94,1385.82,1376.06,1380.94,1371.18,1376.06,1366.3,1371.18,1361.42,1366.3
600519.SH,2025-07-10,250,True,1395.22,1412.14,1386.79,1402.62,38725.03,5503329.754,25.350000000000136,1387.6460000000002,19.347500000000004,0.7739501227548625,9.862959244707104e-07,0.1,0.30317532719848517,True,True,True,True,-0.0076601682222145985,0.884969180938993,0.12220245837831806,-0.06659231225809148,0.7596403331957338,5.672121410308124,5.672121410308124,1.536572464602225,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,4.836875000000001,1.25,True,True,1382.81,1387.65,1377.97,1382.81,1373.14,1377.97,1368.3,1373.14,1363.46,1368.3
600519.SH,2025-07-11,250,True,1399.34,1433.59,1399.34,1403.11,57243.35,8239010.39,34.25,1389.3366666666666,19.4235,0.7091066663234387,5.535564142189772e-07,0.1,0.3068471123153834,True,True,True,True,-0.013101557708922086,0.8894653168443097,0.11713476437977301,-0.11852892987867243,0.7504841693889309,5.917518887156604,5.917518887156604,1.5505423539987622,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,4.855875,1.25,True,True,1384.48,1389.34,1379.62,1384.48,1374.77,1379.62,1369.91,1374.77,1365.06,1369.91
600519.SH,2025-07-14,250,True,1406.06,1410.96,1397.8,1399.77,27780.94,3961736.006,13.160000000000082,1391.3613333333333,18.83900000000001,0.4463435780384681,6.102526996471916e-07,0.1,0.30761430051126276,True,True,True,True,-0.01529160139234337,0.8891807037859427,0.11745479777314644,-0.1379868119971299,0.7502841069941061,5.901395206509127,5.901395206509127,1.5480157266832362,0.06934420885221984,0.11420051947976724,True,6,True,True,0.25,5,4.709750000000002,1.25,True,True,1386.65,1391.36,1381.94,1386.65,1377.23,1381.94,1372.52,1377.23,1367.81,1372.52
600519.SH,2025-07-15,250,True,1397.19,1399.11,1384.74,1387.38,35405.78,5005150.165,15.029999999999973,1391.4546666666668,18.8755,-0.21587066126283513,5.698049496844398e-07,0.1,0.3079953164108059,True,True,True,True,-0.016521488094797324,0.8888011879968538,0.11788170402748654,-0.14857612052842684,0.7512358640564092,5.880023420753434,5.880023420753434,1.5471702738272717,0.06934420885221984,0.11420051947976724,True,6,True,True,0.25,5,4.718875,1.25,True,True,1386.74,1391.45,1382.02,1386.74,1377.3,1382.02,1372.58,1377.3,1367.86,1372.58
600519.SH,2025-07-16,250,True,1386.41,1393.76,1386.35,1387.41,21286.05,3006882.579,7.410000000000082,1391.636,18.164499999999997,-0.2326516006496125,5.624234468578556e-07,0.1,0.30883061684638874,True,True,True,True,-0.013474265678107595,0.8888962067320261,0.11777480311674157,-0.12127637843659116,0.749351518864174,5.885360554352862,5.885360554352862,1.5439897064591759,0.06934420885221984,0.11420051947976724,True,6,True,True,0.25,5,4.541124999999999,1.25,True,True,1387.09,1391.64,1382.55,1387.09,1378.01,1382.55,1373.47,1378.01,1368.93,1373.47
600519.SH,2025-07-17,250,True,1390.31,1399.19,1389.23,1392.64,23105.54,3273100.406,11.779999999999973,1391.3966666666668,17.958500000000004,0.06923369620699608,6.17405142317939e-07,0.1,0.3094463703933087,True,True,True,True,-0.009180617184452912,0.8878558576947212,0.11894587158153067,-0.08186443799678304,0.7479870972511913,5.827416885880163,5.827416885880163,1.5335728879635186,0.06934420885221984,0.11420051947976724,True,6,True,True,0.25,5,4.489625000000001,1.25,True,True,1386.91,1391.4,1382.42,1386.91,1377.93,1382.42,1373.44,1377.93,1368.95,1373.44
600519.SH,2025-07-18,250,True,1396.23,1413.74,1392.67,1412.94,41823.41,5984949.774,21.09999999999991,1393.6193333333333,18.003999999999998,1.073131896615571,8.624194644117882e-07,0.1,0.3094040616883855,True,True,True,True,-0.006574389991267477,0.8892489424471753,0.11737805741806898,-0.059361870997319426,0.7500456133558817,5.905253467359253,5.905253467359253,1.5480294506869194,0.06934420885221984,0.11420051947976724,True,6,True,True,0.25,5,4.5009999999999994,1.25,True,True,1389.12,1393.62,1384.62,1389.12,1380.12,1384.62,1375.62,1380.12,1371.11,1375.62
600519.SH,2025-07-21,250,True,1412.93,1422.58,1410.98,1418.84,26203.31,3779891.829,11.599999999999909,1395.814,17.242499999999986,1.3354211976221464,9.796174643774643e-07,0.1,0.31047054694088344,True,True,True,True,-0.004971476896884008,0.890059211011488,0.11646728924253136,-0.0452195854024978,0.7501688070458491,5.95143224391989,5.95143224391989,1.554325672142098,0.06934420885221984,0.11420051947976724,True,6,True,True,0.25,5,4.310624999999996,1.25,True,True,1391.5,1395.81,1387.19,1391.5,1382.88,1387.19,1378.57,1382.88,1374.26,1378.57
600519.SH,2025-07-22,250,True,1419.83,1442.05,1416.56,1440.45,42118.98,6127636.851,25.49000000000001,1399.7386666666666,16.989499999999985,2.3962643593592188,1.503855075871133e-06,0.1,0.3122574255545218,True,True,True,True,-0.0022789889240596864,0.8938949202786788,0.11216704955502038,-0.02147860338115119,0.7517283603983345,6.179597157184218,6.179597157184218,1.587132881128652,0.06934420885221984,0.11420051947976724,True,6,True,True,0.25,5,4.247374999999996,1.25,True,True,1395.49,1399.74,1391.24,1395.49,1387.0,1391.24,1382.75,1387.0,1378.5,1382.75
